400
1	2	5		1	3	55		1	4	45		3	5	64		5	6	0
4	7	26		6	8	-28		4	9	27		5	10	-48		2	11	-63
1	12	88		9	12	22		11	12	97		7	13	-83		7	14	-92
8	15	-8		12	15	6		13	15	-21		14	15	21		8	16	-11
10	16	-75		2	17	92		8	17	-80		10	17	11		2	18	19
17	19	89		11	20	-91		18	21	-73		10	22	-51		7	23	-87
3	24	60		2	25	96		17	25	99		20	25	77		2	26	17
6	26	71		7	27	-70		13	27	-29		5	28	-6		15	28	40
19	28	35		24	29	16		26	29	-32		27	30	76		4	31	-77
7	31	45		23	31	47		18	32	-52		23	32	84		24	32	94
13	33	66		12	34	-27		23	34	-31		8	35	-57		9	36	-9
18	36	88		28	36	88		2	37	31		7	37	58		18	38	78
18	39	42		35	39	34		1	40	88		9	40	18		16	40	70
19	40	-40		16	41	89		33	41	17		38	41	1		17	42	-55
31	42	23		28	43	38		29	43	-37		10	44	18		40	44	17
13	45	34		33	45	9		4	46	53		8	46	-94		4	47	94
11	47	97		2	48	-17		13	48	46		16	49	-72		26	49	-70
42	49	97		27	50	12		48	50	86		40	51	31		41	51	36
14	52	-43		15	52	79		40	52	81		33	53	68		44	53	13
51	53	47		2	54	-56		19	54	-4		46	54	32		9	55	-89
20	55	-6		53	55	-92		14	56	-10		21	56	-74		24	57	-63
35	57	20		48	57	43		56	57	64		18	58	-65		35	59	14
37	59	10		4	60	-72		6	60	-6		18	60	24		3	61	-57
46	61	-64		51	61	-99		57	61	86		25	62	53		26	62	33
43	63	-60		46	63	81		8	64	-53		21	64	92		43	64	85
2	65	67		28	65	93		29	65	7		47	65	-2		55	65	52
60	65	38		47	66	71		52	66	22		29	67	34		45	67	95
19	68	-47		32	68	32		51	68	85		55	68	23		57	68	27
17	69	-7		18	69	10		23	69	-1		35	69	97		8	70	-43
15	70	12		60	70	80		61	70	55		21	71	-48		28	71	67
44	71	28		57	71	30		9	72	98		25	72	87		67	72	40
6	73	-58		9	73	94		45	73	9		43	74	-53		50	74	-99
65	74	95		17	75	22		33	75	-74		45	76	11		47	76	40
5	77	-3		22	77	-38		70	77	29		72	77	70		19	78	36
39	78	51		73	78	13		31	79	-20		43	79	19		60	79	8
76	79	25		4	80	47		33	80	25		61	80	9		68	80	-19
79	80	70		18	81	-15		45	81	-29		13	82	-60		57	82	74
2	83	73		16	83	-44		40	83	-84		78	83	71		60	84	-80
15	85	49		81	85	-38		4	86	28		8	86	99		9	86	30
13	86	82		24	86	0		43	86	33		50	86	3		64	86	77
85	86	-41		14	87	-78		41	87	-73		70	87	-9		77	87	15
84	87	62		6	88	39		30	88	-61		41	88	98		48	88	62
63	88	57		77	88	62		15	89	-44		32	89	-15		38	89	-52
43	89	47		55	89	23		59	89	2		66	89	81		72	89	34
81	89	4		4	90	64		51	90	5		82	90	80		13	91	-69
32	91	-99		48	91	-41		58	91	-19		65	91	-69		77	91	22
31	92	14		57	92	54		84	93	-18		88	93	71		2	94	83
8	94	60		9	94	90		23	94	59		50	94	31		4	95	84
20	95	18		29	95	-77		34	95	-49		21	96	-16		27	96	71
63	96	51		94	96	89		33	97	63		40	97	-90		52	97	61
80	97	55		12	98	0		63	98	74		48	99	87		67	99	74
76	99	62		88	99	88		82	100	-11		30	101	-23		40	101	19
65	101	51		78	101	74		80	101	63		11	102	0		73	102	-85
83	102	-63		91	102	91		11	103	-8		15	103	37		29	103	69
54	103	54		63	103	18		78	103	99		1	104	0		36	104	96
50	104	75		90	104	78		14	105	-43		20	105	96		25	105	-57
75	105	58		88	105	23		10	106	-50		44	106	-80		53	106	-17
72	106	40		88	106	42		17	107	-31		21	107	-40		8	108	19
17	108	-13		23	108	41		28	108	-43		39	108	95		89	108	74
101	108	11		102	108	93		4	109	17		16	109	19		40	109	56
63	109	37		77	109	-85		89	109	46		104	109	67		31	110	83
42	110	8		60	110	21		89	110	29		105	110	15		33	111	-50
43	111	-97		93	111	88		19	112	20		42	112	80		65	112	30
93	112	47		26	113	-92		66	113	-86		71	113	-63		4	114	-47
13	115	43		25	115	93		37	115	57		37	116	5		59	116	91
79	116	-60		83	116	4		10	117	48		35	117	38		66	117	87
79	117	-45		95	117	-68		110	117	30		22	118	-8		43	118	41
79	118	48		95	118	4		107	118	29		21	119	98		25	119	62
65	119	54		9	120	34		11	120	17		19	120	29		80	120	39
119	120	80		19	121	79		26	121	51		100	121	16		114	121	90
17	122	55		23	122	79		31	122	30		63	122	51		76	122	88
77	122	-23		85	122	28		92	122	16		31	123	-7		42	123	54
74	123	-90		84	123	-79		114	123	56		10	124	37		27	124	11
76	124	36		82	124	73		14	125	-85		56	125	-86		73	125	-66
88	125	18		95	125	-84		122	125	28		92	126	89		95	126	42
105	126	63		14	127	-56		49	127	51		60	127	26		92	127	63
5	128	-97		70	128	24		111	128	-68		18	129	-77		31	129	-68
37	129	70		89	129	86		107	129	8		110	129	17		3	130	-44
6	130	-72		10	130	-54		49	130	90		95	130	50		1	131	-24
52	131	-50		53	131	-33		77	131	73		108	131	-76		120	131	48
6	132	15		31	132	73		43	132	17		50	132	37		106	132	-25
51	133	-52		55	133	25		59	133	18		74	133	51		75	133	48
108	133	85		124	133	87		13	134	-2		79	134	23		93	134	85
121	134	99		62	135	-70		64	135	0		75	135	-48		79	135	-95
91	135	40		93	135	64		100	135	20		127	135	78		17	136	25
34	136	-80		55	136	37		72	136	24		76	136	-39		117	136	61
124	136	16		130	136	55		14	137	-91		23	137	16		33	137	83
53	137	56		108	137	24		112	137	-91		118	137	0		3	138	-98
64	138	11		132	138	8		137	138	17		37	139	83		66	139	51
75	139	65		122	139	85		123	139	53		33	140	19		103	140	86
128	140	84		11	141	84		97	141	-5		107	141	32		118	141	33
43	142	76		61	142	-49		108	142	99		118	142	99		119	142	-65
129	142	66		1	143	74		83	143	56		116	143	-65		117	143	19
1	144	56		37	144	20		49	144	70		97	144	62		127	144	81
128	144	46		18	145	24		23	145	-65		68	145	91		131	145	35
34	146	-44		43	146	25		124	146	60		128	146	86		130	146	86
136	146	76		20	147	-32		36	147	-56		58	147	-36		62	147	-45
69	147	-3		79	147	-65		83	147	36		106	147	62		116	147	28
134	147	94		142	147	0		55	148	37		114	148	94		120	148	60
6	149	51		71	149	-79		74	149	-1		93	149	44		109	149	-37
119	149	98		121	149	64		137	149	20		103	150	-23		106	150	12
135	150	73		38	151	-97		51	151	21		77	151	96		86	151	-89
94	151	-99		120	151	94		129	151	40		130	151	34		133	151	6
6	152	38		25	152	-80		66	152	-74		86	152	-31		116	152	25
16	153	-37		44	153	2		68	153	22		123	153	38		128	153	37
145	153	71		27	154	24		44	154	95		107	154	22		141	154	51
18	155	91		24	155	76		36	155	-17		37	155	54		47	155	24
59	155	3		88	155	65		109	155	18		3	156	-45		60	156	-63
77	156	-23		27	157	40		29	157	36		30	157	-81		31	157	84
81	157	-65		107	157	60		116	157	74		141	157	25		153	157	10
11	158	82		12	158	-91		14	158	18		57	158	47		99	158	-35
110	158	-64		153	158	70		157	158	22		12	159	-76		14	159	27
30	159	-77		39	159	-53		47	159	77		57	159	68		58	159	-94
14	160	99		57	160	5		103	160	49		115	160	3		10	161	45
26	161	38		44	161	-77		83	161	59		20	162	97		28	162	-41
55	162	-32		94	162	-24		117	162	21		118	162	93		137	162	89
148	162	48		9	163	-77		31	163	-64		58	163	-22		107	163	-60
117	163	-39		3	164	-65		42	164	47		73	164	67		114	164	38
123	164	76		143	164	-87		53	165	-11		78	165	-13		84	165	34
85	165	23		151	165	94		34	166	-54		53	166	81		55	166	92
79	166	19		94	166	-92		109	166	16		110	166	67		111	166	0
150	166	52		165	166	22		76	167	-10		83	167	-11		98	167	-46
133	167	92		142	167	90		33	168	47		64	168	-79		94	168	92
107	168	90		134	168	24		157	168	42		31	169	-60		64	169	-6
85	169	48		88	169	13		94	169	16		136	169	-58		24	170	33
76	170	85		83	170	42		95	170	76		112	170	9		142	170	40
167	170	63		10	171	4		34	171	45		64	171	13		74	171	66
98	171	97		146	171	-16		151	171	-99		10	172	91		52	172	88
73	172	78		88	172	8		5	173	-31		17	173	-9		63	173	35
68	173	26		86	173	-78		87	173	-76		88	173	9		131	173	7
154	173	49		2	174	54		17	174	95		61	174	-5		107	174	20
113	174	-4		132	174	91		144	174	46		157	174	66		172	174	59
17	175	82		35	175	81		73	175	63		75	175	42		78	175	16
102	175	21		145	175	62		160	175	60		12	176	0		36	176	-2
81	176	21		109	176	84		165	176	56		51	177	-90		59	177	-65
83	177	10		124	177	91		157	177	92		170	177	34		172	177	4
39	178	-92		42	178	72		83	178	46		138	178	-30		172	178	73
10	179	83		28	179	-48		85	179	97		111	179	76		138	179	-92
15	180	-84		37	180	-33		52	180	86		58	180	7		86	180	-25
109	180	1		123	180	81		127	180	11		18	181	-55		33	181	79
49	181	60		57	181	-62		107	181	18		120	181	-60		129	181	26
141	181	-1		143	181	98		36	182	-18		61	182	-81		87	182	27
120	182	4		142	182	76		156	182	57		48	183	-91		62	183	-45
90	183	-34		163	183	77		172	183	15		9	184	-88		10	184	90
22	184	-16		27	184	38		50	184	58		62	184	-53		75	184	48
82	184	-84		112	184	61		152	184	57		180	184	23		4	185	1
10	185	17		17	185	34		71	185	-87		87	185	80		101	185	0
118	185	28		140	185	71		175	185	65		6	186	-46		21	186	84
24	186	93		54	186	0		59	186	64		124	186	78		128	186	91
162	186	9		32	187	-88		37	187	66		56	187	89		76	187	37
83	187	29		108	187	81		121	187	85		182	187	53		186	187	62
51	188	99		67	188	21		78	188	45		122	188	-11		140	188	31
19	189	-71		54	189	-93		55	189	-32		71	189	38		83	189	2
98	189	32		127	189	-99		176	189	2		186	189	80		19	190	94
70	190	45		110	190	89		133	190	76		159	190	31		161	190	54
10	191	-65		47	191	-26		73	191	54		103	191	5		104	191	-83
119	191	-17		123	191	92		50	192	89		74	192	-13		76	192	24
87	192	62		123	192	58		129	192	-20		132	192	12		140	192	61
160	192	83		161	192	89		169	192	-92		178	192	44		20	193	-32
51	193	62		95	193	-57		97	193	25		175	193	-62		9	194	16
39	194	20		111	194	-88		127	194	79		9	195	40		12	195	-34
56	195	44		81	195	50		97	195	78		98	195	67		112	195	9
126	195	-66		131	195	36		150	195	26		168	195	58		192	195	58
128	196	35		138	196	56		26	197	-35		27	197	-21		37	197	51
80	197	58		85	197	42		106	197	54		136	197	10		141	197	-95
16	198	-62		34	198	70		52	198	6		84	198	66		85	198	41
142	198	7		12	199	-13		48	199	96		78	199	30		124	199	49
144	199	-41		146	199	-62		167	199	10		184	199	93		24	200	-99
60	200	-58		177	200	-11		41	201	33		43	201	42		57	201	-72
65	201	-49		72	201	18		76	201	49		80	201	70		81	201	37
88	201	38		98	201	60		110	201	46		130	201	-30		139	201	-58
173	201	11		30	202	-28		60	202	-43		109	202	-40		121	202	99
125	202	-59		126	202	26		143	202	37		17	203	-78		72	203	56
89	203	93		107	203	0		110	203	56		143	203	81		148	203	23
171	203	85		176	203	55		188	203	18		11	204	-49		19	204	77
41	204	75		75	204	34		79	204	14		92	204	23		120	204	30
131	204	69		175	204	15		182	204	19		194	204	44		23	205	0
61	205	74		74	205	-4		80	205	62		152	205	46		168	205	3
3	206	-59		26	206	-63		35	206	96		57	206	1		65	206	-51
128	206	78		197	206	51		3	207	1		21	207	28		53	207	-78
71	207	98		84	207	84		119	207	99		145	207	-19		161	207	-8
12	208	-29		82	208	-86		191	208	-73		3	209	-48		70	209	-77
83	209	87		126	209	99		135	209	59		175	209	3		189	209	83
190	209	-57		24	210	-71		26	210	-58		43	210	93		64	210	-74
103	210	13		108	210	-9		150	210	23		37	211	-85		161	211	58
209	211	53		18	212	0		48	212	-21		57	212	78		60	212	30
66	212	-51		100	212	-62		146	212	-14		164	212	93		175	212	4
182	212	41		200	212	28		209	212	16		7	213	-64		22	213	-36
46	213	-8		54	213	-25		92	213	60		109	213	55		114	213	-20
131	213	23		133	213	34		145	213	22		165	213	-7		170	213	34
178	213	63		211	213	35		13	214	66		66	214	-18		105	214	-77
110	214	42		145	214	85		163	214	44		194	214	66		9	215	31
66	215	4		81	215	48		97	215	-92		106	215	56		174	215	89
10	216	-90		24	216	70		51	216	48		69	216	-17		89	216	-89
100	216	-99		103	216	54		121	216	99		126	216	20		148	216	-57
159	216	74		173	216	77		207	216	80		209	216	60		18	217	-80
20	217	-22		39	217	94		58	217	-48		68	217	-14		145	217	85
181	217	-71		210	217	15		42	218	76		52	218	-40		68	218	32
88	218	28		89	218	73		124	218	38		212	218	2		32	219	-33
36	219	37		47	219	70		70	219	82		77	219	-31		98	219	16
102	219	-91		125	219	50		181	219	-91		7	220	-53		44	220	-96
46	220	24		54	220	90		58	220	80		89	220	90		121	220	38
143	220	93		169	220	41		177	220	91		214	220	61		16	221	-82
34	221	90		42	221	53		44	221	61		55	221	47		83	221	22
165	221	43		198	221	50		219	221	66		5	222	-90		27	222	96
42	222	98		83	222	96		106	222	44		119	222	61		154	222	15
183	222	-85		210	222	62		18	223	-7		22	223	21		63	223	92
79	223	13		119	223	65		128	223	-38		156	223	-39		179	223	-6
183	223	30		192	223	9		83	224	-53		87	224	8		91	224	51
115	224	69		128	224	-31		154	224	19		164	224	-63		190	224	0
204	224	-32		46	225	13		49	225	40		98	225	-66		131	225	-8
138	225	-75		203	225	1		209	225	90		9	226	-59		37	226	77
43	226	59		139	226	-3		152	226	2		166	226	81		167	226	-93
202	226	43		4	227	-2		44	227	12		57	227	62		81	227	98
116	227	-80		155	227	95		188	227	6		216	227	24		219	227	40
16	228	-46		18	228	-93		28	228	48		31	228	-62		51	228	38
